trade_id,timestamp,counterparty,instrument,amount_usd,status,settlement_days,hour_of_day,amount_zscore,trade_date,daily_trade_count,is_duplicate_flagged,is_off_hours,status_risk,anomaly_score,risk_score,flagged
TRD103138,2026-04-16 12:51:24.354177,Neal Group,COMMODITY,24155.3,PENDING,1,12,-0.0979165465932985,2026-04-16,1,0,0,1,1,-0.09228080684023376,False
TRD103887,2026-04-16 13:38:04.360220,West-Martin,BOND,21566.69,SETTLED,2,13,-0.10253716629579346,2026-04-16,2,0,0,0,1,-0.21265452222067965,False
TRD104254,2026-04-16 14:03:53.363260,Brown-Ramos,FX,3942.59,SETTLED,2,14,-0.35126520838622116,2026-04-16,4,0,0,0,1,-0.18730070350122235,False
TRD103618,2026-04-16 15:06:50.358094,Mccormick-Ewing,COMMODITY,133853.09,SETTLED,2,15,4.025858331371737,2026-04-16,1,0,0,0,-1,0.015771922528534876,True
TRD104039,2026-04-16 15:13:29.361426,"Cummings, Wood and Savage",EQUITY,12467.32,CANCELLED,3,15,-0.07717488789902602,2026-04-16,1,0,0,2,1,-0.03011007403415744,False
TRD101380,2026-04-16 16:00:44.337917,"Garrison, Hernandez and Rogers",DERIVATIVE,17247.72,FAILED,1,16,-0.10576325284513668,2026-04-16,1,0,0,3,1,-0.041455504138160126,False
TRD104363,2026-04-16 16:20:52.364797,Castillo LLC,BOND,358371.54,CANCELLED,2,16,3.7812323522005764,2026-04-16,2,0,0,2,-1,0.10474812508398068,True
TRD104644,2026-04-16 17:26:40.367345,Brown-Ramos,COMMODITY,8301.12,SETTLED,2,17,-0.267369737110087,2026-04-16,4,0,0,0,1,-0.19059524571815395,False
TRD100050,2026-04-16 17:51:25.324242,"Glenn, Thomas and Mcpherson",DERIVATIVE,1482.6,SETTLED,1,17,-0.2404007933741505,2026-04-16,1,0,0,0,1,-0.19372126507077497,False
TRD100192,2026-04-16 18:48:43.325372,"Pittman, Perez and Smith",COMMODITY,3258.56,SETTLED,2,18,-0.1392300569004022,2026-04-16,1,0,0,0,1,-0.19530534723622717,False
TRD103368,2026-04-16 19:12:47.355994,Brown-Morris,BOND,21462.16,SETTLED,2,19,-0.06625861814459619,2026-04-16,2,0,0,0,1,-0.21285285928640335,False
TRD102127,2026-04-16 19:30:47.343958,Brown-Ramos,FX,10728.06,SETTLED,3,19,-0.22065461181350743,2026-04-16,4,0,0,0,1,-0.15706274971373863,False
TRD104144,2026-04-16 19:33:33.362252,"Duncan, Cox and Wilson",FX,3788.38,SETTLED,0,19,-0.3543436984664055,2026-04-16,1,0,0,0,1,-0.14864912227419386,False
TRD102305,2026-04-16 20:04:27.345368,Brown-Morris,COMMODITY,8790.32,SETTLED,0,20,-0.3427406174576297,2026-04-16,2,0,0,0,1,-0.1734376819101271,False
TRD104923,2026-04-16 20:19:16.369752,Crane-Shields,COMMODITY,11182.39,FAILED,2,20,-0.14735020759111672,2026-04-16,1,0,0,3,1,-0.04583674131257365,False
TRD103459,2026-04-16 20:41:21.356709,Brown-Ramos,FX,66244.73,SETTLED,1,20,0.8479619156238668,2026-04-16,4,0,0,0,1,-0.08845574525439737,False
TRD101585,2026-04-16 22:26:54.339630,West-Martin,BOND,2604.78,SETTLED,2,22,-0.20885543983276134,2026-04-16,2,0,1,0,1,-0.19152022754873987,False
TRD104751,2026-04-16 23:06:54.368276,Pineda LLC,BOND,10003.49,SETTLED,0,23,-0.23555388136989813,2026-04-16,1,0,1,0,1,-0.12721979205595807,False
TRD101350,2026-04-16 23:29:01.337662,Castillo LLC,EQUITY,12889.52,CANCELLED,3,23,-0.16364647146620623,2026-04-16,2,0,1,2,1,-0.024254688440950245,False
TRD103429,2026-04-17 01:09:11.356470,"Brown, Chen and Crawford",COMMODITY,3859.17,SETTLED,2,1,-0.31284378602725754,2026-04-17,2,0,1,0,1,-0.19425829523566895,False
TRD102549,2026-04-17 01:49:04.347416,Humphrey-Massey,COMMODITY,3228.47,SETTLED,2,1,-0.3387949933642831,2026-04-17,3,0,1,0,1,-0.18111404590601032,False
TRD101616,2026-04-17 02:27:33.339871,Pineda LLC,BOND,2241.67,SETTLED,3,2,-0.3513005485966757,2026-04-17,1,0,1,0,1,-0.12101320351194461,False
TRD104615,2026-04-17 03:29:18.367095,"Pittman, Perez and Smith",BOND,7606.01,SETTLED,2,3,-0.12261981139395975,2026-04-17,3,0,1,0,1,-0.18318690756943717,False
TRD101186,2026-04-17 04:09:03.336228,Miller Ltd,FX,9818.48,SETTLED,2,4,-0.2307790583739171,2026-04-17,1,0,1,0,1,-0.1734328315380122,False
TRD101654,2026-04-17 04:11:05.340170,"Scott, Johnson and Wiley",FX,67065.55,SETTLED,1,4,1.25920753568516,2026-04-17,2,0,1,0,1,-0.05985088460957699,False
TRD102493,2026-04-17 04:21:55.346964,Brown-Ramos,FX,6215.17,SETTLED,2,4,-0.3075212924070454,2026-04-17,2,0,1,0,1,-0.19453103655109932,False
TRD103122,2026-04-17 05:30:03.354053,Lee and Sons,COMMODITY,3921.04,FAILED,2,5,-0.46880099724843743,2026-04-17,3,0,1,3,1,-0.02350851768135831,False
TRD100964,2026-04-17 05:35:53.333781,Humphrey-Massey,FX,30368.21,SETTLED,3,5,-0.005531601893418388,2026-04-17,3,0,1,0,1,-0.10724797479852477,False
TRD100772,2026-04-17 05:57:20.330387,"Lutz, Garcia and White",COMMODITY,3933.74,SETTLED,2,5,-0.5517336990093605,2026-04-17,2,0,1,0,1,-0.17413750319896848,False
TRD104869,2026-04-17 06:07:59.369292,Drake-Leon,DERIVATIVE,24530.04,SETTLED,2,6,-0.0992327588236922,2026-04-17,1,0,0,0,1,-0.18488465057230313,False
TRD103406,2026-04-17 06:09:57.356290,"Cummings, Wood and Savage",EQUITY,2966.43,SETTLED,0,6,-0.6094280751592923,2026-04-17,2,0,0,0,1,-0.1521622402387502,False
TRD101839,2026-04-17 06:10:43.341623,Nelson Ltd,EQUITY,33862.01,SETTLED,1,6,0.030837447152896144,2026-04-17,1,0,0,0,1,-0.16529962688205058,False
TRD103919,2026-04-17 06:43:35.360470,Rodriguez PLC,COMMODITY,5818.85,SETTLED,1,6,-0.3744264851001121,2026-04-17,1,0,0,0,1,-0.19072395975043088,False
TRD102481,2026-04-17 06:58:19.346841,"Lutz, Garcia and White",DERIVATIVE,6988.26,SETTLED,2,6,-0.4352125141929894,2026-04-17,2,0,0,0,1,-0.21311204242661114,False
TRD104807,2026-04-17 07:09:29.368759,Vaughan-Hall,BOND,4719.97,SETTLED,2,7,-0.4632801929655536,2026-04-17,2,0,0,0,1,-0.21207364036455578,False
TRD104099,2026-04-17 07:35:32.361903,Macias-Oliver,EQUITY,114435.06,SETTLED,2,7,2.5003731705287566,2026-04-17,1,0,0,0,1,-0.018751792337278306,False
TRD104567,2026-04-17 08:06:40.366681,Baker-Ingram,DERIVATIVE,1302.7,SETTLED,1,8,-0.5926039201116606,2026-04-17,1,0,0,0,1,-0.17205473674008315,False
TRD102326,2026-04-17 08:15:23.345534,Ross and Sons,DERIVATIVE,8558.47,SETTLED,2,8,-0.22571748449499562,2026-04-17,1,0,0,0,1,-0.20109293791088334,False
TRD104584,2026-04-17 08:28:30.366828,Butler-Banks,EQUITY,11239.17,PENDING,2,8,-0.3591100811086716,2026-04-17,2,0,0,1,1,-0.13040772784645072,False
TRD103932,2026-04-17 10:10:11.360576,Mccormick-Ewing,BOND,4672.02,FAILED,0,10,-0.36628135651380694,2026-04-17,2,0,0,3,1,-0.040278830909411756,False
TRD104327,2026-04-17 10:33:00.364136,"Smith, Levy and Brown",FX,20665.94,SETTLED,0,10,0.1990300208375141,2026-04-17,1,0,0,0,1,-0.12609998864779437,False
TRD102104,2026-04-17 10:43:45.343779,"Salazar, Jones and Miller",COMMODITY,2898.0,SETTLED,0,10,-0.4092170148561722,2026-04-17,2,0,0,0,1,-0.1734126335408392,False
TRD104832,2026-04-17 12:40:16.368973,"Salazar, Jones and Miller",COMMODITY,3982.83,PENDING,3,12,-0.3845736986469665,2026-04-17,2,0,0,1,1,-0.09957806350109266,False
TRD103557,2026-04-17 13:42:07.357470,Humphrey-Massey,EQUITY,28955.27,CANCELLED,1,13,-0.022881848297578604,2026-04-17,3,0,0,2,1,-0.0701459043729935,False
TRD104919,2026-04-17 13:57:16.369718,Santiago PLC,COMMODITY,2444.06,SETTLED,0,13,-0.4068305476974166,2026-04-17,2,0,0,0,1,-0.1719818230729656,False
TRD104995,2026-04-17 14:21:17.370378,Santiago PLC,BOND,45267.74,SETTLED,2,14,0.5395098861558527,2026-04-17,2,0,0,0,1,-0.16572910854236633,False
TRD104937,2026-04-17 14:40:59.369872,"Pittman, Perez and Smith",FX,11879.51,SETTLED,1,14,-0.10629210568790637,2026-04-17,3,0,0,0,1,-0.20983142321708098,False
TRD103868,2026-04-17 15:42:39.360073,"Duncan, Cox and Wilson",EQUITY,209483.02,SETTLED,2,15,2.440655255420307,2026-04-17,1,0,0,0,-1,0.020335508392230972,True
TRD103884,2026-04-17 15:54:00.360197,"Lewis, Thompson and Jimenez",EQUITY,18631.11,SETTLED,3,15,-0.13302783393489678,2026-04-17,1,0,0,0,1,-0.14450925042100193,False
TRD104366,2026-04-17 16:11:57.364831,Brown-Ramos,BOND,11514.87,SETTLED,0,16,-0.205509644185712,2026-04-17,2,0,0,0,1,-0.18053607180060272,False
TRD100629,2026-04-17 16:57:10.328816,"Navarro, Gibson and Hernandez",BOND,3477.21,SETTLED,1,16,-0.38909955448469097,2026-04-17,3,0,0,0,1,-0.21047111212388359,False
TRD103208,2026-04-17 17:10:55.354727,"Brown, Chen and Crawford",COMMODITY,1734.95,SETTLED,3,17,-0.3361727011262781,2026-04-17,2,0,0,0,1,-0.18456587294073162,False
TRD100155,2026-04-17 17:24:54.325083,"Scott, Johnson and Wiley",DERIVATIVE,6240.29,SETTLED,3,17,-0.3631469963664218,2026-04-17,2,0,0,0,1,-0.18604391214105598,False
TRD102679,2026-04-17 18:07:06.349743,"Navarro, Gibson and Hernandez",FX,926.63,SETTLED,1,18,-0.4377960251546079,2026-04-17,3,0,0,0,1,-0.2037783049659282,False
TRD102308,2026-04-17 18:30:32.345391,Mccormick-Ewing,FX,32055.79,SETTLED,0,18,0.564763285096063,2026-04-17,2,0,0,0,1,-0.12546547675004338,False
TRD100816,2026-04-17 18:32:34.331053,Ramos-Schmitt,COMMODITY,3743.36,SETTLED,3,18,-0.2506411589878122,2026-04-17,1,0,0,0,1,-0.15708846289128742,False
TRD103080,2026-04-17 19:03:05.353732,Walker PLC,FX,9624.93,SETTLED,2,19,-0.1089221497556224,2026-04-17,1,0,0,0,1,-0.19981243501213508,False
TRD104001,2026-04-17 19:13:28.361121,"Mccoy, Hayes and Hernandez",FX,6588.96,SETTLED,2,19,-0.17152469773973772,2026-04-17,2,0,0,0,1,-0.22137596387691322,False
TRD104092,2026-04-17 19:14:21.361850,"Mccoy, Hayes and Hernandez",COMMODITY,8644.48,SETTLED,0,19,-0.15891291365870638,2026-04-17,2,0,0,0,1,-0.18328963087754074,False
TRD101879,2026-04-17 19:48:23.341935,Butler-Banks,EQUITY,11303.08,SETTLED,1,19,-0.3574799657213704,2026-04-17,2,0,0,0,1,-0.21079563085597153,False
